<<<<<<< HEAD
Apartment, Address,rating,reviews
Quarters Nueces,"2300 Nueces St, Austin, TX 78705",1.6,"['Lived there for two years, terrible experience. Don’t live there. I moved in with a boarded window since apparently my window was gone. Took them 4 months to replace the window. Glass shattering every night. Thin walls and puke in the elevator. A lot of dog poop in random areas, it’s hilarious.', 'We are having crazy flooding every floor (from 8th floor to 2nd floor) in this building in the middle of the night\nNo one in this building knew what happened and we can’t get sleep because the leaking and flooding in almost every unit!\nThey are trying to fix but just cleaned up the water but actually not fix the roots\nThe noise of fixing at night was also soooooo disturbing and frustrating\nWorst of it, it’s Sunday night! I have work and class tomorrow! Anyways I am so mad\nIt’s insane and highly Don’t recommended renting this building\nUpdate:We checked every floor to see what happened and here’s evidence pictures from different floors', 'Can only base upon move in and the following amazing employees that ensured safety, guidance, and nice/professional attitudes, even after working day after day in the heat and long hours…they were Yolanda, Sal and Andy. Praying it’s a great year with little maintenance issues. Room is spacious and new appliances in kitchen.', ""I've never heard of charge for rent per person... This apartment complex is miss leading looks like a part of The University. Over 2,000a month for my granddaughter and her boyfriend. This is taking advantage of our children who are stepping into the adult world. Parents beware.!! Too bad I couldn't give it a zero rating 😞"", ""The most terrible experience living here. If you want to hear construction noise all day long and glass smashing sound at 5 am every morning, welcome to Quaters-Nueces!\nI wanted to end the contract earlier by paying fine but unable to do so cuz the leasing office required me to find someone to sublease. Ended up being trapped here for one year. Pls don't rent here! Find other places! FIND OTHER PLACES!!!!""]"
Rambler,"2513 Seton Ave, Austin, TX 78705",2.2,"['Bought a 12 pack of Rambler Grapefruit.  2 of the 12 cans had 1/3 liquid, the 3rd can was just empty, never filled.  Tried to contact them several times, no responses.  Shame', 'Rambler is the kind of water you want on a hot day! Growing up in Austin, it brings me back to the day of being a kid and coming in from hot outside and having a cold glass of water! The Limestone taste brings me back to those days, except 10x better with the fizzz!! Anyways, great product, even better customer service, and a go to drink that will take you back to Texas wherever you are!', 'Staff is amazing!! Very good vibes']"
Rise,"2206 Nueces St, Austin, TX 78705",2.0,"[""This review is for the staff only. They are all so helpful, especially Garrett (HUGE shoutout to Garrett). They almost always respond to questions after hours when they owe us NOTHING and they're just students trying their best.\n\nHowever, CA Ventures, the developer, is evil. Truly an evil entity - taking advantage of college kids and leaving them homeless for over a month just to put them in a building where nothing works and nothing is fully installed. I wonder how they sleep at night. But this is not the fault of the lovely staff. They are dealing with the terrible situation quite well."", 'I wouldn’t wish this nightmare experience on my worst enemy. The people who run this place have no problem lying right to your face. They couldn’t keep their word if their lives depended on it. We were totally scammed! Rooms are so not like what they said they would be. No electricity, broken elevators, flooding, the list goes on and on and this is just the first day it opened! Our lease is up in July and that can’t come soon enough.', 'stated clearly in a email that the starting move in date was august 16 and now it’s being pushed back to a date management can’t even promise. when i signed my lease i spoke to james wood (manager) and he said in full confidence it would be ready on time. in july, before they announced the apartment won’t be ready, i was suspicious, so i called the leasing office to ask for clarity on the situation and they immediately became hostile and asked which neighboring apartment told me. just goes to show leasing agents already knew it wasn’t going to be ready. they won’t let residents out their lease. if they didn’t hold up their end of the deal, why should we?', 'Disregard all the 1 star reviews people gave before the 29th of September. Finally having moved in, I still have to say this building is not optimal, and was clearly very rushed.\n\nAside from the flooding, power outtages, and elevators not working, the actual rooms themselves pose some problems. Not just the paint marks and cracked outlets, but actual things thay makes you wonder, ""how could you mess this up?""\n\nFor one, the thermostat does not change anything. After talking to staff about it and mastering the controls, it does not work.\nSecondly, mine and one of my roommates\' doors do not close fully, and the reinforced metal door frames don\'t let you tinker with it.\nLastly, our livingroom TV is completely off center, and the HDMI behind it is broken likely from one of the workers pulling it out without pressing the release lever.\n\nMy personal ABSOLUTE biggest problem, however, is needing a key to go down the elevator. The idea of having to walk down every single guest you have over is laughable. I\'ve heard of key requirements for going up an elevator, but I have NEVER seen a building require one to go down and it makes NO sense.\n\nMost of the problems with this building (not even going to GET to the staff), can be fixed in the future, and the amenities are honestly great. But I would not suggest living at Rise.\n\nEdit: no hate to the staff. They are students being told what to do, just doing their jobs. But it\'s the corporate, CA Ventures, that is ABSOLUTELY abysmal.', ""EVERY SINGLE DAY I find myself filled with regret for choosing to live here. It's disheartening to pay FULL rent for a solitary hotel room with no kitchen, leaving me isolated and frustrated.\n\nMy most significant concern revolves around the parking situation. I have parking at Callaway, just a minute away from the Rise. However, I'm now expected to endure a walk back to the AC Hotel late at night when I get off work. This lack of consideration for safety and convenience is deeply disappointing. The Rise does NOT care for their residents\n\nI implore management to take residents' needs and concerns more seriously. I feel like if I have parking close to the Rise, I should be added to the Hotel parking list temporarily. This sucks. Thanks for ruining my year x""]"
Signature,"1909 Rio Grande St, Austin, TX 78705",2.8,"[""I don't often write reviews, but I felt that I needed to thank everyone at Signature for providing a safe and comfortable place for my daughter to live while attending UT. The staff goes above and beyond... from move in day, to move out day and every day in-between. My daughter loved the location of her apartment. The several times I came to visit, it felt like a fun place to live with many amenities (gym, pool, study pods). Everything was clean, including the elevators and parking garage. My daughter especially loved the variety of events the staff puts together  (happy hour, contests, first day of school pictures) I can not thank you enough for the peace of mind knowing my daughter was happy and safe! She made wonderful memories living there. I highly recommend this apartment to anyone!"", 'Extremely Disappointed with Signature Apartments\nI regret to say that my experience living at Signature Apartments has been nothing short of disappointing. I feel compelled to share my grievances in the hope that others may avoid the same issues I encountered during my time there.\nFirst and foremost, our move-in day was an absolute nightmare. Upon arrival, we were greeted with an apartment that was far from the ""clean, empty"" space we were promised. Instead, we were welcomed by a mess left behind by the previous residents, including garbage strewn about, filthy walls with noticeable divots, and dust lurking in every air vent. To make matters worse, we were forced to hire a cleaning service at our own expense just to make the apartment habitable. This was an immediate breach of our contract and a clear indication of a lack of responsibility on the part of Signature Apartments.\nOur problems didn\'t end there. For over a month and a half, we had to deal with a malfunctioning fridge that froze all our groceries. The ordeal involved numerous back-and-forths with management, particularly Candice Stricklin. At first, they absurdly suggested that we were storing our items incorrectly. However, it\'s common knowledge that regardless of how one arranges their groceries, they should not turn into frozen blocks. We followed their advice and adjusted the settings accordingly, but the issue persisted. After much insistence, they finally replaced the fridge with a so-called ""new"" one, which inexplicably lacked an ice machine and was handed over to us in a filthy state. This was particularly frustrating as we, being college students on tight budgets, had spent a significant amount on groceries that had gone to waste due to the initial faulty appliance.\nFurthermore, the apartment itself left much to be desired. It lacked natural light, giving it a dark and claustrophobic feel. Out of the four bedrooms, only two had windows. I was unlucky enough to have a room with a view of the Torre parking garage in the alleyway, which meant keeping the blinds drawn at all times to avoid the unsightly view.\nAs if these issues weren\'t enough, the general condition of the apartment building left much to be desired. The trash chute was consistently overflowing, resulting in a persistent stench of garbage throughout the building. The rent, which is already exorbitant for what is offered, is further compounded by a $145 monthly parking fee. To add insult to injury, the mandatory use of SimpleBills, a third-party utility payment service, felt like a total scam.\nI would strongly advise against considering Signature Apartments as your place of residence. The numerous issues I\'ve encountered, from the unclean move-in conditions to the inadequate appliances and overall lackluster living environment, make it clear that this establishment falls far short of its promises and fails to provide the value one would expect for the price. Save yourself the frustration and look elsewhere for a more suitable place to call home.', ""I'm going to miss this place so much.  Spent my last 2 years at UT here, made great friends and the staff was always so helpful and seemed like they actually cared.  I had a pretty bad experience with another wampus apartment before but Signature actually tries to help you out most of the time.  Would highly recommend, won't find anything better at UT."", 'I think it’s funny this building calls itself luxurious. All the furnishings inside the apartment look like they came from a discount store. The pool is dirty. The staff doesn’t even make eye contact with you when you walk by, let alone say hello. The other day I was working downstairs in the lobby and overheard a female staff member take a call from a disgruntled tenant. She laughed with her coworkers about how the caller told her the staff here has no heart and doesn’t care. He was right.', 'Like many have noted, Signature will try to charge you once you move out for unreasonable things, and they are unwilling to properly evaluate any disputes because of their greed. I was charged $35 because the bathtub was ""dirty"", even though the picture they used as proof is shadowy, and does not indicate anything beyond normal wear and tear (attached below). The process to have your disputes considered takes a long time, requires many emails, and feels entirely pointless because of their lack of willingness to waive/reduce charges even when unfair. I\'m thoroughly frustrated and unhappy with them.']"
Skyloft,"507 W 23rd St, Austin, TX 78705",2.6,"[""I have one word for this place. AWESOME!!\nI have been fortunate enough to stay many places all over the country in my life, and this is without question one of the best. One of the main reasons I decided to renew my lease here is the people. They are outstanding.  I have never had a problem where I felt they didn't make it a priority.  Given this is an 18 story building with hundreds of apartments and even more people that says a lot. Special shout out goes to Gab & Lilly whom I have had the pleasure of dealing with the most.\nListen,  you can rent an apartment anywhere, there are a lot of places opening up around here. The difference is the people and they are without question,  AWESOME.\nThank you, and keep up the great work!"", 'I have lived at skyloft for 2 months now. The staff and facilities are top notch. The CA’s are all helpful and do a great job when you need things. The Asian girl and Jewish guy in particular are very friendly. I love it here.', 'Do me a favor, please please please do not live here. Unless you want to torture yourself by the management, by the room. Go for it. I am currently treating psychasthenia because of my experience living here and as below shows:\n\n1. Extremely loud engine noise to the point I can not fall asleep at night and Management doing nothing about it. What is even worse, they said ""Deal with it, it\'s part of every property""\n2. Elevator constantly broken, I live on the 17th floor, and I can\'t count the amount of time I have to wait 20 min for an elevator to come up and down.\n3. If you want to live in a room without AC 8/9 month, go for it. I will not stop you.\n\nPlease read all the genuine review others had posted. LOOK before you sign, I promise you, signing anywhere else, the homeless people are having a better apartment then what I had. I am FORCED to sign another units somewhere else because I am having an apartment that would not allow me to sleep. Please do me a favor, don\'t waste your money.', ""Very disappointed with overall state of affairs at Skyloft where my Niece is living. We care taking care of her in Austin locally. Helped her to move-in & visited couple of time safter that. From our prior experience of staying at other apartments in last 2 years; this is a huge disappointment.\n\nAir Conditioning system failed in the first week & it took them 4 days to fix it. This is a huge Health hazard in 106 F Texas heat. When it was fixed, A.C is so loud that you can not sit in living room. You have a headache within 30 minutes with that loud noise constantly buzzing in the apartment. With number of rooms we heard that don't have working A.C, it feels like the HVAC system in this building needs a complete overhaul.\n\nRooms are definitely smaller, living room is practically a size of a large Garment moving Box. I feel there are definitely better options available in this area at similar or cheaper cost. Find them."", 'I’ve only lived here for 3 weeks, and I’ve already spent 1/3 of my time without air-conditioning. In the middle of June. With a broken window. Management is unresponsive, facilities suck, fixtures in the apartment appear to have been installed by a 5-year-old because they’re constantly falling apart, and I’m regularly greeted with vomit in the elevators when the building is fortunate enough to get them working. I can’t emphasize this enough: STAY AS FAR FROM THIS PLACE AS POSSIBLE.']"
The Block on 25th,"702 W 25th St, Austin, TX 78705",1.8,"['Unresponsive to safety and health issues. Black mold in air ducts. Elevator inoperable for three weeks and multiple cars broken into in garage last night. Steer clear. Don’t lease at American Campus Communities properties.', 'Don’t live here. Moved in and everything is broken: my toilet, stove, washing machine, ect. Mold in the vents when I moved it, took them nearly three weeks to solve.\n\nOur apartment flooded twice because of the broken washing machine and it took them days to fix it each time.\nOnly nice thing about this place is the moderately sized rooms and cheap price.', 'BEWARE. Continue to have A/C issues that are not being addressed.\n\nEmergency phone numbers just rings and rings.  Contacted CEO of company and no response.\n\n2 weeks now with out proper air conditioning in room (with temps over 100 degrees).', 'The Block is almost hostile in its awfulness.  It’s difficult to contact them and they aren’t actually open on the hours— or even days— they post.  They closed for Juneteenth on the Monday after, but didn’t post it on their main site or any easily accessible location.  Avoid any American Campus property at all costs, there are thousands of negative experiences that you can read about online.\n\nEven moving out is a brutal unpleasantry.  Start to finish, it’s one of the worst living situations possible.', 'We just recently signed our lease here and the staff was very friendly and gave us a great tour. They even had a meet up with free food and had fun activities and had lots of fun!']"
The Mark,"812 W 23rd St, Austin, TX 78705",4.2,"['I’ve been living at The Mark for about 2 Months now and it has been great!! The staff is very helpful and allows you to feel included in many of the activities they host. Our maintenance crew is amazing and will get everything fixed in minutes. The study lounges are my favorite part of living here and they are always so nice. I have enjoyed my time at here and hoping on resigning my lease with my roomies.', 'I absolutely have no complaints living here! The building itself is quite nice and the amenities are great too! Staff and maintenance are overall great, both quick and reliable.\nThe location itself feels as if everything is just within reach and I just love the overall ambiance of the place. Highly would recommend!', ""Quality is dismal for the high price you have to pay. The floor plans are misleading and the actual units are completely different when comes to actual space. Who ever designed it was definitely not looking for the student's comfort but trying to cut another room in a unit where you can barely stand. My daughter's room looks like an escape room where you have to strategically move otherwise will end up hurting yourself. Only storage space is a small closet which is a joke, looks more like a broom closet. You cannot even place a basic study table or chair in the room and move around. Have to move the furniture if you want to actually use the bathroom or the door will hit the furniture. Fun part is you pay the same high rent as the other person who has almost twice the space and a walk-in closet. Could they not use common sense when designing the space. The floor plan we picked was supposed to have a balcony that conveniently disappeared.\nAdding to the review after almost 2 weeks. Reached out to the property to hopefully get some resolution. The assistant property manager advised to email the main manager which i did last week. Have yet to hear from anyone. Tried calling but lines are always busy."", 'Update:\n\nThe office was super responsive and maintenance did awesome the last week. They did a lot of hard work to get it all done. Thank you to the office and maintenance team for responding so quickly and making The Mark a great and nice place to live.\n\nI agree with taco night. The building is increasingly getting dirtier as the time passes and there is trash that has been left in the same areas for about a month. The trash chute is always locked and never available for use. The trash gets piled high to the ceilings in the trash room leaving the trash room disgusting. I’ve definitely used the trash chute when another trash bag has been going down the chute but it’s still consistently locked out. So residents have no other option but to pile and stuff trash bags into the trash room. Nothing is ever cleaned. Maybe only the first floor and lobby. There’s been vomit all over the place and just general nasty stuff everywhere.  A work order shouldn’t have to be placed for general cleanliness. The response to taco night says they have a cleaning person that rotates floors. This is a 17 story building that would need a crew to clean. One person would not be able to keep up with the all of this and trash left all over.', 'Signing here is a smooth and easy process. From first contact, I got quick responses from the lease up manager, Rufus, and we were able to sign within the week. Early move-in wasn’t as hectic as it should have been thanks to the good organization and lots of help from the staff. Shout out to Justin and the rest of the crew for being super helpful and welcoming.']"
The Standard,"715 W 23rd St, Austin, TX 78705",2.6,"['The floor of my floor’s hallway is full of dirt and trash and the trash chutes are so full that our only given option is to take all the trash out to the front dumpster. The other residents of my floor can’t even do that, and despite the building saying they’d be fined, people are leaving trash outside the trash room. The building won’t fine them or take out the trash at the bottom of the chute frequently enough so it’s just been piling up. On top of that, we’ve had drunk groups of guys bang on our doors at night and scream. It just seems like building management doesn’t care and the apartment doesn’t feel safe if you’re a group of girls alone in your apartment at night. There’s security cameras everywhere and they hire security at night, so I’m not really sure why they keep asking residents who are affected to investigate these guys themselves. The management is ridiculously hard to get in contact with and you can assume that every good review here is fake and/or through them giving residents free gifts or perks for writing a 5 star one.', 'Amazing views, cool pool, and friendly staff. The manager Brandon has been excellent to work with at every opportunity. Common areas throughout and hallways on my floor have all been consistently kept clean.', 'My daughter stayed there as a foreign student - finished in July 2023 - now October and not only have I failed to get her deposit back - they charged for one month rent after she had left plus charges for late payment of a rent that wasn’t due plus charges her for not returning keys which she did - trying to talk to someone on the phone is complete pointless - and despite numerous emails I have failed to get a the refund processed!!! Not good!!!!', ""What a great way to move to UT Austin! Chelsea has been super accommodating and lovely to work with. I was nervous to move here and it ended up being such a great fit! I also love my roomies and found the room pairing system really great.\n\nThis place literally has every amenity you can think of and more! The cleaners and security are also really love to speak with. It's the ultimate student living and the best way to integrate into a new city. Thank you!\n\nPS: The sunsets and sunrises are mesmerising!"", ""So angry.  Trying to transfer funds from a 529 account to pay son's rent, and it's just too complicated.  There's no account number.  Logical thing then is to call the office and square this away, but (wouldn't you know it?) you cannot get ANYONE in the office.  We pay a LOT of money for this place, and they cannot even staff the office with someone who can take a phone call and answer simple question.  You do get a foreign call center, and they are utterly unable to do anything.  Awful.  The owner should be ashamed. Customer service, darn you!  Follow up:  I did what was asked below even before it was asked.  Got confirmation that the payment was found.  And then they STILL don't show it paid on the website.  The Standard is wholly unprofessional.  Truly the worst billing experience I have ever had with any company in over 30 years. PS - how about answering the phone?!?  Building of that size needs an office with someone paying attention.""]"
Twenty Two Fifteen,"2215 Rio Grande St, Austin, TX 78705",3.8,"['The staff here are helpful and available and the property itself was beautifully renovated with windows in all the bedrooms and nice modest amenities. The location is also unbeatable. Sometimes undergoing renovation can cause a lot of bad reviews from the residents there during the work but now that it is complete there is nothing to worry about', 'It seems like the staff (Summer Bush and Heather Johnson) are more responsive to honest online reviews of their management as opposed to actually answering calls. I’ve called over ten times today, not one answer. Their tactic to silence people who want to dispute their baseless moving out charges is to not take any calls, only emails, and they will only answer after October 1, 2021. You mean 3 months after I moved out? Those two obstacles definitely ensure students who do not know how to navigate this frustrating, dishonest renting system won’t dispute anything further. I’m attaching pictures of how they will charge you unfounded fees for their corporate greed. I’m also attaching pictures of how they allowed me to move in to this apartment without first cleaning it. Whether this was a lease transfer or year long lease doesn’t matter, they gave me this apartment in a terrible condition. From Austin Tenant Council:\n“However, if the tenant moves out of an apartment leaving it in the same condition as when the tenant moved in, except for normal wear and tear, and no money is owed the landlord, the tenant should get all of the deposit back.”', ""I've been living here for 4+ months. The staff is amazing! David with the maintenance team and Dwight at the leasing office are fantastic!\n\nI'm taking away one star because some equipment in the gym is broken/missing. I've been complaining for 3+ months. Empty promises have been made but are yet to be followed through. I'll update the rating to five stars as soon as the gym equipment is replaced.\n\nBut overall, great apartment. Highly recommended!\n\nEdit: They fixed the gym. Shout out to another fantastic staff member, Cody, at the leasing center. Updating to five stars!"", 'Stayed here for 1 year. Loved that the apartment was so spacious. And the location is great. Personally my experience with the staff has also been good. They were always on top of completing any maintenance requests on time and were quite responsive. And they have an Amazon Hub service for packages which is pretty secure and convenient. Just taking away 1 star for the move out charges- yes like the rest of the reviews here I did get some move out charges as well which I didn’t think were so justified given that I left the place in pretty good condition. Another gripe is that there is a high rise construction going on next door which created a lot of noise during the day, at least in my apartment which was facing the alley where the construction is going on. I realize that this might be more of a West Campus thing than the apartment itself, but this does get annoying many times and is a trade off that comes with its central location. That being said, overall I still found my stay to be pretty peaceful and convenient. It’s definitely not perfect but still a decent enough stay.', ""The maintenance team is the backbone of this apartment. They are always happy to help any issues that may arise in the apartments at a timely matter. More specifically, the head of maintenance, David, is super kind to all the residents and keeps Twenty-Two 15 in good shape. The apartment is in a great location, and the culture seems to be more tame and calm compared to other apartments in west campus in terms of partying. My only complaints are that my kitchen sink in my 1x1 is almost comically too small (it's a 12x12 square) and the faucet is too big for it, making it super hard to use. Also, if you have a car, the designated parking garage is poorly designed and frustrating to park at, especially considering how expensive a parking pass is. Other than that, it is one of the best apartments to live in if you enjoy a more quiet, peaceful community.""]"
Villas on 26th,"800 W 26th St, Austin, TX 78705",1.8,"['I wouldn’t recommend living here to anyone for multiple reasons. I’ve had my packages stolen multiple times in the building and despite having cameras the management has been unhelpful at best. The apartment also came in poor condition (dirty floors, old dingy carpets, broken/missing blinds and lights, paint chips and dirty walls, etc) and the amenities are almost non existent and not kept in good condition regardless. The elevator is ALWAYS dirty.\n\nTo further this, I had the absolute WORST roach infestation all summer (literally a hive, a HIVE, living in the dishwasher that was never fixed despite putting multiple requests in and requesting help in the office in person. I had bugs crawling on my face in my sleep. If you live in apartment 204 please look out. My router also disappeared after electricians came through to redo the wires and I faced a 150 charge and management was extremely unhelpful and unapologetic. To charge such a high price to live like that is a scam.\n\nThe last straw is now that Ive moved out they have tried to charge me and my roommates 650+ dollars each for damages that were caused before we ever showed up and were listed on the intake form. They’re trying to take 450 dollars for the way my bedroom carpet was to begin with. They’re literally trying to scam you out of your money. I cannot emphasize enough to not live here. The one star is for Javier who does the maintenance, he is extremely caring and attentive and does things in a timely manner.\n\nAdding below some  pictures of the apartment we took when we moved in that they’re now claiming we’re responsible for such as the walls, carpets and missing/broken lights/fixtures.', 'This was my first place coming from Atlanta to Austin for school, and the experience was incredible. Very clean and spacious apartment that offers great amenities for an affordable price. Management was always attentive and kind. 10/10 recommend.', 'Hello! This place has good space for the living but the maintenance of it makes it uninhabitable for our apartment. The trash has been piled up outside in our hallway for 2 and a half weeks making the bugs, roaches and maggots infesting our area. We have complained to management multiple times and they continually tell us to be patient but it’s gotten to the point that we as residents have to take out the piles of trash by ourselves in order to live without a terrible smell and to have access to another entry way.', 'I usually never leave reviews but this is by far the worst apartment I have ever stayed at in college. After the management change, the office has 0 care for my well being and is unwilling to work with you to resolve issues. I was under the impression that my unit would be furnished and requested it to be, but this wasn’t communicated as there was a change with management right when the school semester started, and I paid for a “furnished room” to get one twin mattress in my room and had to live with that for two weeks before I ordered furniture during the hectic start of the school year. In the contract they state they will replace your garage key but for a fee if lost but I they have been unable to replace it, making me have to wait outside the garage for someone to come in for the past like 3 months - such a waste of gas and time. Our dryer turns off every 5 minutes so it has to be rerun so it is like a 6 hour task to get laundry done, and the office hasn’t resolved this issue either. The only person who is pleasing to speak with is the person doing the actual repairs for maintenance (thank you Javier) and the rest of the office staff is honestly just rude and doesn’t show you the slightest respect. The property overall definitely needs some renovation as the appliances are old - the ONE elevator we have broke like every other week at one point.', 'Do not live here. The management is absolutely terrible, they don’t care at all about their residents or their well being. The entire building is disgustingly filthy, the amenities only work half of the time if at all. The management is impossible to get ahold of, and once you finally do they’re absolutely no help. It’s absolutely not worth the price.']"
Villas on Rio,"2111 Rio Grande St, Austin, TX 78705",3.8,"['pictured here is the view from my living room ""window."" I leased from 2022/2023, and lived with little to no sunlight because I also happened to have a windowless room (which are now ILLEGAL for these massive apartment complexes in the city of Austin to build by the way). My roommates and I celebrated when a single sliver of sunlight would come into our living room between 6:07 and 6:15 pm. I was given ZERO warning that our window was going to face a massive brick concrete wall that was two feet away, and ZERO financial compensation for it. We were all still paying the same amount that someone in a D1 floor plan with a BEAUTIFUL view of the city was paying. DO NOT SIGN HERE. They WILL withhold information like this, and they do not allow tours of your specific unit nor do they have a sample room to show despite having a capacity of 600 residents. The in-apartment amenities were nice except for the consistent lack of sunlight that human beings typically need to y\'know live comfortably. I also still had to pay nearly 200 dollars per month for a ""secure"" parking spot despite the gate being wide open and accessible to literally anyone for 9 out of 12 of my months living at Villas on Rio. The residents at Villas were generally rude and standoffish as well; I can recall SO many instances of someone dropping something and people just watching them instead of offering to help as they scramble to pick their stuff up, people don\'t hold open the elevator for someone rushing towards the door, they don\'t offer to hold a door open for someone (college aged OR elderly) carrying something heavy. In short, the residents generally had a noticeable lack of basic manners. The staff were some of the only exceptions to this which I was thankful for. I had a really lackluster experience here and I recommend looking elsewhere in West Campus for a far better living experience. You know it\'s bad when I\'m celebrating and grateful to see SUNLIGHT out of a WINDOW at my new apartment.', 'Villas on Rio has been great. It feels very safe and is great distance to campus. The building is kept clean and functional. The amenities are great and easily accessible. If there are any issues residents are informed.  Living in the pods is actually spacious and private for a better price than others in West Campus. Overall my experience has been good and I plan to renew.', 'Love Villas on Rio so far! The staff was very helpful when me and my roommate signed last year. They were willing to work with us and our preferences (even though we signed kind of late). The amenities are great and clean. I love my room! I have already resigned for next year and can’t wait to live here again.', 'Absolutely love Villas on Rio! Not only is everyone so nice, caring, and understanding, but the location is amazing. Right in the middle of West Campus commuting to and from classes is super easy. The apartment does an extremely good job of giving residents an opportunity to feel like a tight-knit community. In addition, Villas on Rio has by far the best staff. Anything from a  huge maintenance request to answering questions Villas on Rio is on it.', 'I really like this apartment! Amenities are great and I use them everyday, and being next to a Starbucks is nice. Also management is great and they’re super flexible and helpful when you have questions. Maintenance is also great and respond in a timely manner. I like this apartment I just don’t like west campus due to the immense amount of people that live over here.']"
Waterloo,"2400 Seton Ave, Austin, TX 78705",3.2,"['It was fine but just that. The elevators never worked and our pool was closed for months at a time and the hot tub only worked for one month. The actual space was very nice just poorly kept. They didn’t do a very good job with security either, anyone would walk in and try to use our amenities. Rooms are small and walls are thin too. However it is a brand new build so it’s nice to have updated appliances. Overall I’d say the good and the bad cancel each other out and it’s a fine place to live.', 'Having lived in this apartment complex last year, I can say the only positive aspects are the views and diligent maintenance. While maintenance was consistently prompt and efficient in addressing issues, the drawbacks significantly overshadow the few commendable features.\n\nThe biggest letdown was the unreliability of promised amenities. The elevators were frequently broken, forcing us to trek up to our room on the 28th floor numerous times. The hot tub was broken for half the time we lived here, and the so-called spin studio, which was supposed to feature Peloton bikes, not only lacked Pelotons, but the equipment didn\'t work. The ""luxurious rooftop pool"" was inaccessible for over a month due to ongoing ""repairs."" Additionally, I encountered many issues with my key fob, resulting in multiple visits to the office to obtain a replacement. The purportedly ""exclusive residents-only"" coffee shop often became crowded with non-residents, leaving little space for actual residents. The rooms themselves were disappointingly small, with paper-thin walls. While the appliances in the units were of good quality, this was a minor consolation when looking at the big picture.\n\nDon\'t fall for any of the leasing specials you\'re offered. We were enticed with a $200 gift card offer for signing a lease during our tour, but despite our persistent follow-ups, we never received the promised gift card. Also, be extremely cautious when cleaning your room for move-out. Despite thoroughly cleaning my room, I was unexpectedly charged $300 in ""damage"" fees upon leaving, and the same for my roommates, leaving our grand total of ""damage"" charges over $1,000.\n\nIn summary, I would not recommend living in this apartment complex if you seek an enjoyable living experience. There are undoubtedly superior housing options available in West Campus that offer better value and more reliable amenities.', ""The apartment is good on paper, but in practice it hasn't been great. The lobby is stunning and definitely draws you in, but only when it's actually clean. There is very little effort to keep the building cared for unless absolutely necessary, even then it takes time (For instance, someone spilled and left a chik fila milkshake in the elevator, where it rolled around and coated the entire floor. It was like that for several days). It is not rare to see trash spilling out of the bins in the lobby, or enter the lobby bathrooms to complete atrocities.\nTHE TRASH SHOOT. It doesnt work! It won't open. It hasn't since move in. There were times when you couldn't even get into the trash room because the room was stuffed full of garbage, and was spilling into the hall.\nRecycling doesn't work either. There is one little bin in the room other than the broken shoot, and I am highly skeptical that anything actually gets recycled.\n\nTheir is basically no management present, just leasing agents who tend to not know much about anything (Another example, I was having trouble with the wifi in my room for my computer. The ethernet wasn't working. I went to go file some sort of complaint because the maintenance page didn't have ethernet as an option to report, and ended up having to explain what an ethernet cable was). I don't really blame the individuals, but rather whoever trained them because they come across as unaware, and relatively reluctant to help. I've also been in the leasing office when they are receiving phone calls, and have WATCHED these people literally mute the call.This communicated to me just how much the apartment cares about its residents.\n\nAll of these things, though extremely irritating, wouldn't have been that big of a deal if rent wasn't as atrocious as it is. (I live in a 4x4. My room has no windows, and is barely large enough for me to walk in.) There shouldn't be an excuse for this level of laziness if we are paying this much PER PERSON to live in a space that is uncared for, and lacks community."", 'I would like to write a review to give a huge shoutout to Waterloo staff, specifically Laura, who has been a huge help for me during a tedious living arrangement process. Laura has been so helpful- she has answered all my questions within a timely manner, always has a great attitude, and overall has helped me look through solutions within the last few months due to living arrangement changes I have been experiencing. Maddie has also been great, and super helpful. This has made my living experience a lot more enjoyable, because it is nice to have a staff who is willing to help out :-)\n\nIf you are experiencing any trouble, I would recommend contacting Laura. She truly has been so amazing and so helpful throughout this semester. Thank you Laura!', 'The staff here is so friendly and helpful! They remember you by name and Sydney is always so welcoming and kind. Definitely would recommend living at Waterloo.']"
=======
Apartment,Address,rating,reviews
